name,predicate,strategy,bugs,initial-scc,scc,initial-classes,classes,initial-bytes,bytes,initial-lines,lines,iters,searches,setup-time,time,status,verify,flaky
url0067cdd33d_goldolphin_Mi,cfr,classes,4,114,2,189,12,164035,11276,4348,368,17,2,5.272259505,63.129235737,success,success,False
url0067cdd33d_goldolphin_Mi,cfr,items+graph+first,4,1603,2,189,17,164035,7650,4348,236,24,2,13.998700771,100.478030185,success,success,False
url0067cdd33d_goldolphin_Mi,cfr,items+graph+last,4,1560,2,189,17,164035,7743,4348,241,24,2,8.708268043,76.71835460599999,success,success,False
url0067cdd33d_goldolphin_Mi,cfr,items+logic,4,2314,88,189,12,164035,6176,4348,178,23,0,8.866695613,79.78104663299999,success,success,False
url0067cdd33d_goldolphin_Mi,cfr,jreduce,4,0,2,189,12,188415,13242,0,0,18,2,0.0,83.404915236,success,success,False
url0067cdd33d_goldolphin_Mi,fernflower,classes,16,114,8,189,87,164035,79945,3819,2021,64,8,8.200499864,523.6567804089999,success,success,False
url0067cdd33d_goldolphin_Mi,fernflower,items+graph+first,16,1603,16,189,53,164035,23698,3819,398,183,16,17.988271144,1339.589717532,success,success,False
url0067cdd33d_goldolphin_Mi,fernflower,items+graph+last,16,1560,16,189,49,164035,19503,3819,408,178,16,18.37008548,1119.613204492,success,success,False
url0067cdd33d_goldolphin_Mi,fernflower,items+logic,16,2314,178,189,35,164035,14040,3819,299,162,0,20.961126014,1027.787172715,success,success,False
url0067cdd33d_goldolphin_Mi,fernflower,jreduce,16,0,8,189,87,188415,92045,0,0,63,8,0.0,490.832838595,success,success,False
url0067cdd33d_goldolphin_Mi,procyon,classes,23,114,3,189,69,164035,62588,4134,1195,25,3,11.50164853,266.690397649,success,success,False
url0067cdd33d_goldolphin_Mi,procyon,items+graph+first,23,1603,13,189,46,164035,24959,4134,455,149,13,18.96901269,1334.678380755,success,success,False
url0067cdd33d_goldolphin_Mi,procyon,items+graph+last,23,1560,18,189,49,164035,27004,4134,484,199,18,21.218161306,1649.520627356,success,0155,False
url0067cdd33d_goldolphin_Mi,procyon,items+logic,23,2314,276,189,45,164035,22745,4134,408,135,0,21.644438953,1256.3835461589997,success,success,False
url0067cdd33d_goldolphin_Mi,procyon,jreduce,23,0,3,189,69,188415,70635,0,0,26,3,0.0,282.146256199,success,success,False
url0437254834_haluan_PengelolaProting,cfr,classes,3,34,1,114,109,220364,214946,5640,5465,7,1,12.752744592,72.771169275,success,success,False
url0437254834_haluan_PengelolaProting,cfr,items+graph+first,3,1239,3,114,16,220364,9734,5640,301,34,3,24.334581681,246.177960056,success,success,False
url0437254834_haluan_PengelolaProting,cfr,items+graph+last,3,1237,4,114,16,220364,9727,5640,298,45,4,20.987634446,278.82885468,success,success,False
url0437254834_haluan_PengelolaProting,cfr,items+logic,3,2413,111,114,16,220364,9734,5640,301,35,0,24.257416691,422.453527228,success,success,False
url0437254834_haluan_PengelolaProting,cfr,jreduce,3,0,1,114,109,258896,252643,0,0,8,1,0.0,67.839929056,success,success,False
url0541656d60_Hexiaoqiao_leetcode,cfr,classes,2,146,1,195,1,203346,2198,8026,88,9,1,10.456283981,86.32189801999999,success,success,False
url0541656d60_Hexiaoqiao_leetcode,cfr,items+graph+first,2,1350,1,195,1,203346,935,8026,39,12,1,14.856968974,98.90616377900001,success,success,False
url0541656d60_Hexiaoqiao_leetcode,cfr,items+graph+last,2,1350,1,195,1,203346,935,8026,39,12,1,18.973031969,117.309430659,success,success,False
url0541656d60_Hexiaoqiao_leetcode,cfr,items+logic,2,1698,4,195,1,203346,935,8026,39,13,0,14.383533788,142.17476438399999,success,success,False
